Seconds,Nanoseconds,Temp_C,Power_W,Throttled_Hex,RSS_KB,CPU_MHz,Reconnect_Count
1783803576,416840380,38.9,2.71,0x0,8464,2400,0
1783803581,459365835,37.3,2.04,0x0,8544,1500,0
1783803586,499813390,37.3,2.06,0x0,8560,1500,0
1783803591,540133507,37.8,2.03,0x0,8592,1500,0
1783803596,580578076,37.3,2.07,0x0,8592,1500,0
1783803601,621095041,36.7,2.05,0x0,8624,1500,0
1783803606,661451422,37.3,2.27,0x0,8624,1500,0
1783803611,701869292,38.9,2.31,0x0,8624,1500,0
1783803616,742173876,37.8,2.10,0x0,8624,1500,0
1783803621,782463783,36.7,2.06,0x0,8624,1500,0
1783803626,822812979,36.7,2.07,0x0,8624,1500,0
1783803631,863318981,36.7,2.02,0x0,8624,1500,0
1783803636,903916864,37.3,2.04,0x0,8624,1500,0
1783803641,944366499,37.3,2.04,0x0,8624,1500,0
1783803646,984699053,38.4,2.05,0x0,8624,1500,0
1783803652,25380545,37.3,2.06,0x0,8624,1500,0
1783803657,69784733,37.8,2.10,0x0,8624,1500,0
1783803662,114264749,38.4,2.06,0x0,8624,1500,0
1783803667,154697651,36.7,2.07,0x0,8624,1500,0
1783803672,195136121,37.8,2.42,0x0,8624,1500,0
1783803677,235591643,36.7,2.04,0x0,8624,1500,0
1783803682,276109698,37.3,2.05,0x0,8624,1500,0
1783803687,316541212,37.3,2.05,0x0,8624,1500,0
1783803692,356949112,38.9,2.05,0x0,8624,1500,0
1783803697,397335602,37.3,2.04,0x0,8624,1500,0
1783803702,437724275,38.4,2.02,0x0,8624,1500,0
1783803707,478044057,38.4,2.06,0x0,9008,1500,0
1783803712,518466801,37.3,2.04,0x0,9008,1500,0
1783803717,558853321,36.7,2.06,0x0,9008,1500,0
1783803722,599195525,37.3,2.07,0x0,9008,1500,0
1783803727,639556729,37.3,2.05,0x0,9008,1500,0
1783803732,684152579,37.3,2.07,0x0,9008,1500,0
1783803737,724681987,37.3,2.04,0x0,9008,1500,0
1783803742,865453901,37.3,2.06,0x0,9008,1500,0
1783803747,905812217,38.4,2.25,0x0,9008,1500,0
1783803752,946175887,37.3,2.08,0x0,9008,1500,0
1783803757,986453502,37.3,2.06,0x0,9008,1500,0
1783803763,26878397,38.4,2.08,0x0,9008,1500,0
1783803768,67258499,37.3,2.06,0x0,9008,1500,0
1783803773,107623881,37.3,2.09,0x0,9008,1500,0
1783803778,147990969,37.3,2.08,0x0,9008,1500,0
1783803783,188398673,37.3,2.09,0x0,9008,1500,0
1783803788,228768306,37.3,2.10,0x0,9008,1500,0
1783803793,269381165,36.7,2.07,0x0,9008,1500,0
1783803798,309747195,37.8,2.04,0x0,9008,1500,0
1783803803,450462616,38.9,2.07,0x0,9008,1500,0
1783803808,490855878,37.3,2.06,0x0,9008,1500,0
1783803813,631395789,37.8,2.06,0x0,9008,1500,0
1783803818,671818432,37.8,2.02,0x0,9008,1500,0
1783803823,812349390,37.3,2.05,0x0,9008,1500,0
1783803828,852683341,37.3,2.04,0x0,9008,1500,0
1783803833,993249384,37.3,2.08,0x0,9008,1500,0
1783803839,33603366,37.3,2.06,0x0,9008,1500,0
1783803844,178196734,37.3,2.07,0x0,9008,1500,0
1783803849,218547378,38.9,2.08,0x0,9008,1500,0
1783803854,359251669,37.8,2.04,0x0,8880,1500,0
1783803859,399616346,37.3,2.10,0x0,8880,1500,0
1783803864,540144967,37.3,2.07,0x0,8880,1500,0
1783803869,580496124,37.3,2.25,0x0,8880,1500,0
1783803874,721169094,38.9,2.06,0x0,8880,1500,0
1783803879,761524343,38.4,2.03,0x0,8880,1500,0
1783803884,801838823,37.8,2.05,0x0,8880,1500,0
1783803889,842162554,37.3,2.04,0x0,8880,1500,0
1783803894,882649850,37.3,2.07,0x0,8880,1500,0
1783803899,922934120,38.4,2.08,0x0,8880,1500,0
1783803904,966059417,38.9,2.06,0x0,8880,1500,0
1783803910,6410504,38.9,2.67,0x0,8880,1500,0
1783803915,46689602,37.3,2.07,0x0,8880,1500,0
1783803920,87152138,36.7,2.01,0x0,8880,1500,0
1783803925,127453851,36.7,2.06,0x0,8880,1500,0
1783803930,167797892,36.7,2.05,0x0,8880,1500,0
1783803935,208159963,38.4,2.07,0x0,8880,1500,0
1783803940,248633842,37.8,2.07,0x0,8880,1500,0
1783803945,289083123,37.3,2.06,0x0,8880,1500,0
1783803950,329458380,37.3,2.12,0x0,8880,1500,0
1783803955,369805779,37.3,2.04,0x0,8880,1500,0
1783803960,410121451,37.3,2.06,0x0,8880,1500,0
1783803965,450454358,37.8,2.08,0x0,8880,1500,0
1783803970,490867817,37.3,2.07,0x0,8880,1500,0
1783803975,531239900,37.8,2.11,0x0,8880,1500,0
1783803980,571630998,37.3,2.07,0x0,8880,1500,0
1783803985,611935202,38.4,2.11,0x0,8880,1500,0
1783803990,652085903,38.4,2.05,0x0,8880,1500,0
1783803995,692447359,37.8,2.06,0x0,8880,1500,0
1783804000,732766182,36.7,2.02,0x0,8880,1500,0
1783804005,773034169,38.9,2.03,0x0,8880,1500,0
1783804010,813309153,36.7,2.09,0x0,8880,1500,0
1783804015,853743670,38.4,2.02,0x0,8880,1500,0
1783804020,894119574,38.9,2.08,0x0,8880,1500,0
1783804025,934472272,37.3,2.05,0x0,8880,1500,0
1783804030,974922338,38.9,2.12,0x0,8880,1500,0
1783804036,15304106,38.4,2.07,0x0,8880,1500,0
1783804041,55627094,37.3,2.06,0x0,8880,1500,0
1783804046,95910470,37.3,2.08,0x0,8880,1500,0
1783804051,136175789,37.3,2.03,0x0,8880,1500,0
1783804056,176426736,37.3,2.04,0x0,8880,1500,0
1783804061,216698941,37.3,2.08,0x0,8880,1500,0
